GameRulesetName,Id
Ludus_CoriovalliHaretavl_Switch_Starting_Position_-_No_Extension_No_Joined_Diagonal_Suggested,1900
Ludus_CoriovalliHaretavl_Switch_Starting_Position_-_Top_Extension_No_Joined_Diagonal_Suggested,1904
Ludus_CoriovalliHaretavl_Switch_Starting_Position_-_Both_Extensions_No_Joined_Diagonal_Suggested,1902
Ludus_CoriovalliHaretavl_Switch_Three_Dogs_Two_Hares_Starting_Position_-_No_Extension_Joined_Diagonal_Suggested,1905
Ludus_CoriovalliHaretavl_Switch_Three_Dogs_Two_Hares_Starting_Position_1_-_No_Extension_No_Joined_Diagonal_Suggested,1906
Ludus_CoriovalliHaretavl_Switch_Three_Dogs_Two_Hares_Starting_Position_2_-_No_Extension_No_Joined_Diagonal_Suggested,1907
Ludus_CoriovalliHaretavl_Switch_Three_Dogs_Two_Hares_Starting_Position_-_Both_Extensions_Joined_Diagonal_Suggested,1908
Ludus_CoriovalliHaretavl_Switch_Three_Dogs_Two_Hares_Starting_Position_-_Both_Extensions_No_Joined_Diagonal_Suggested,1909
Ludus_CoriovalliHaretavl_Switch_Three_Dogs_Two_Hares_Starting_Position_1_-_Top_Extension_Joined_Diagonal_Suggested,1910
Ludus_CoriovalliHaretavl_Switch_Three_Dogs_Two_Hares_Starting_Position_1_-_Top_Extension_No_Joined_Diagonal_Suggested,1911
Ludus_CoriovalliHaretavl_Switch_Three_Dogs_Two_Hares_Starting_Position_2_-_Top_Extension_No_Joined_Diagonal_Suggested,1912
Ludus_CoriovalliHaretavl_Switch_Three_Dogs_Two_Hares_Starting_Position_3_-_Top_Extension_No_Joined_Diagonal_Suggested,1913
Ludus_CoriovalliHaretavl_Switch_Three_Dogs_Two_Hares_Starting_Position_2_-_Top_Extension_Joined_Diagonal_Suggested,1914
Ludus_CoriovalliHaretavl_Switch_Two_Dogs_Starting_Position_-_No_Extension_Joined_Diagonal_Suggested,1915
Ludus_CoriovalliHaretavl_Switch_Two_Dogs_Starting_Position_1_-_No_Extension_No_Joined_Diagonal_Suggested,1916
Ludus_CoriovalliHaretavl_Switch_Two_Dogs_Starting_Position_2_-_No_Extension_No_Joined_Diagonal_Suggested,1917
